millis,sens0,sens1,sens2
41500,457,519,467
41600,456,430,465
41700,471,472,439
41800,472,465,453
41900,495,518,482
42000,489,499,478
42100,462,494,477
42200,477,385,551
42300,496,516,551
42400,464,477,461
42500,447,405,534
42600,454,519,407
42700,478,397,641
42800,479,477,532
42900,473,474,364
43000,491,289,591
43100,454,252,493
43200,443,478,562
43300,462,395,605
43400,467,515,366
43500,466,577,477
43600,447,572,563
43700,485,348,578
43800,465,565,460
43900,466,457,453
44000,501,469,466
44100,480,473,470
44200,474,463,477
44300,468,458,473
44400,458,457,461
44500,496,461,471
44600,462,456,470
44700,457,459,473
44800,480,460,468
44900,441,459,419
45000,457,465,464
45100,457,460,469
45200,465,460,474
45300,471,466,476
45400,465,463,477
45500,454,462,479
45600,460,454,478
45700,474,459,476
45800,455,469,477
45900,467,469,475
46000,467,461,475
46100,462,462,471
46200,450,467,477
46300,468,467,476
