millis,sens0,sens1,sens2
25094,460,439,466
25133,471,455,466
25172,468,459,474
25211,466,456,468
25250,470,461,466
25290,465,504,460
25329,459,444,465
25368,467,458,466
25407,458,478,453
25447,448,463,477
25486,446,458,354
25525,475,453,461
25565,450,509,468
25604,491,429,476
25643,468,486,499
25682,453,457,457
25722,463,483,502
25768,458,456,487
25807,420,485,537
25846,452,457,478
25885,444,410,396
25925,521,404,398
25964,517,429,391
26010,385,459,530
26057,468,534,681
26101,531,401,373
26145,467,462,353
26189,405,468,427
26233,530,501,416
26274,415,442,436
26313,420,493,355
26353,520,507,422
26392,462,500,458
26431,552,468,455
26471,384,511,482
26510,420,494,441
26550,501,402,430
26589,526,487,443
26628,484,490,454
26668,492,441,460
26707,479,476,452
26747,467,483,453
26786,460,433,449
26825,457,475,463
26865,465,432,455
26904,463,422,448
26946,457,423,462
26985,461,439,460
27025,459,439,459
27064,457,427,455
27110,457,446,453
27150,459,475,464
27189,461,497,465
27229,460,387,463
27268,464,376,471
27308,459,498,467
27347,455,468,473
27386,469,437,467
27426,461,483,476
27465,465,406,474
27505,466,454,474
27544,460,455,479
27584,466,394,472
27623,464,483,468
27663,459,464,468
27702,458,471,469
27749,465,447,475
27793,455,476,466
27837,466,494,458
27881,457,455,473
27925,461,462,469
27965,458,471,468
28005,472,481,473
28057,465,477,473
28096,468,458,472
28135,471,473,473
28175,464,485,467
28223,465,478,466
28262,459,485,459
28301,470,428,458
28341,469,490,470
28380,466,438,474
28419,471,470,467
28458,461,502,469
28497,458,460,468
28537,467,439,461
28576,457,470,467
28615,457,436,468
28654,469,458,462
28694,460,467,466
28733,468,421,471
28772,468,469,464
28811,466,459,470
28851,473,452,463
28890,465,478,463
28929,461,470,462
28969,471,448,468
29008,467,448,458
29047,462,425,465
29086,469,463,468
29126,461,475,463
29165,471,457,465
29204,474,475,463
29244,461,464,455
29289,465,510,465
29329,462,466,456
29368,465,473,460
29415,471,425,463
29462,465,497,467
29506,479,476,466
29550,462,464,465
29594,459,509,471
29636,463,480,462
29675,464,485,461
29715,450,424,462
29754,466,473,466
29794,466,468,450
29833,472,419,446
29872,475,496,482
29912,443,474,446
29951,474,523,474
29991,453,535,457
30030,467,475,484
30069,471,512,466
30109,460,492,490
30148,474,442,479
30188,466,508,474
30227,467,467,471
30267,467,454,456
30306,464,506,507
30346,469,487,457
30392,465,480,458
30431,465,457,453
30471,463,500,454
30510,459,458,460
30549,465,443,457
30589,469,471,461
30629,459,466,459
30668,469,412,450
30707,463,485,462
30754,467,439,461
30793,461,448,461
30833,470,451,464
30872,470,466,457
30912,464,453,461
30952,466,460,468
30991,462,515,470
31031,467,448,465
31078,454,429,461
31122,464,464,462
31166,469,479,465
31210,463,469,468
31254,475,472,478
31296,462,460,466
31335,469,422,465
31374,465,474,467
31414,456,423,481
31453,469,469,460
31499,467,422,463
31538,481,479,472
31578,467,449,472
31617,471,453,464
31657,473,467,471
31696,462,471,465
31735,461,429,470
31775,458,493,467
31814,457,454,464
31853,472,502,466
31893,464,503,466
31948,468,402,466
31987,471,462,464
32026,455,460,472
32065,465,420,454
32105,476,527,457
32144,457,457,448
32183,472,495,465
32222,455,504,466
32262,448,478,478
32301,466,507,457
32340,467,436,461
32380,456,442,449
32419,478,468,471
32458,463,438,459
32497,469,473,469
32537,465,454,469
32582,476,424,468
32622,466,498,460
32661,452,469,468
32708,458,493,458
32752,476,434,464
32797,470,476,463
32841,470,480,465
32885,471,472,472
32927,463,479,464
32966,469,464,454
33006,463,486,463
33045,461,371,461
33085,467,473,458
33125,463,457,461
33164,464,440,474
33206,470,452,460
33246,458,456,461
33285,471,462,464
33325,465,442,459
33364,461,460,472
33404,470,476,463
33443,459,486,461
33483,468,461,465
33522,467,478,463
33562,459,461,466
33602,469,448,466
33641,462,481,462
33687,473,472,465
33727,457,468,470
33767,470,461,466
33806,470,498,467
33846,465,463,464
33885,469,456,460
33925,459,478,468
33965,467,442,466
34004,475,461,466
34044,456,477,464
34083,470,446,462
34123,473,475,468
34162,464,444,465
34202,467,457,466
34242,469,485,464
34281,469,456,463
34321,468,483,459
34368,471,466,465
34412,464,460,463
34456,462,447,460
34503,486,459,458
34547,476,432,455
34588,470,486,473
34628,484,437,460
34667,483,425,443
34706,475,438,456
34746,463,420,471
34792,489,485,462
34831,457,453,459
34871,461,507,458
34910,465,500,472
34949,483,460,469
34989,468,471,462
35028,486,516,465
35067,472,449,478
35107,462,501,456
35146,478,463,469
35186,463,481,465
35225,471,492,470
35264,465,447,465
35304,472,481,485
35343,457,494,491
35382,461,456,456
35422,470,457,476
35461,475,479,460
35501,472,482,458
35540,466,512,459
35579,458,423,473
35619,469,475,457
35658,459,487,477
35698,465,452,461
35744,464,448,464
35783,476,444,463
35836,473,463,465
35882,464,463,453
35921,467,488,467
35960,456,459,463
36007,465,464,461
36051,473,414,464
36095,468,456,459
36139,467,462,466
36183,471,427,469
36225,459,472,465
36265,464,449,462
36304,473,482,463
36343,458,466,461
36383,470,415,462
36422,467,469,468
36462,460,429,467
36501,469,452,465
36540,461,442,465
36580,458,463,464
36619,473,482,465
36659,468,470,466
36698,466,457,469
36737,469,460,458
36777,461,457,465
36816,467,473,463
36856,464,470,465
36895,456,446,469
36937,467,411,459
36983,464,454,463
37022,465,487,466
37062,465,453,475
37101,469,472,466
37141,469,476,463
37180,487,460,471
37220,480,449,461
37259,449,487,468
37299,464,432,462
37338,464,482,463
37377,476,446,460
37417,489,429,490
37456,473,410,466
37496,453,461,481
37535,462,450,466
37575,460,453,438
37614,460,423,461
37662,453,483,452
37706,470,533,467
37749,481,467,466
37793,460,446,453
37837,481,455,469
37879,447,507,458
37918,455,485,471
37957,459,529,457
37996,479,462,477
38036,467,436,461
38081,467,461,467
38121,473,476,487
38160,467,477,463
38202,469,444,461
38241,464,441,456
38280,459,482,468
38319,471,499,468
38359,461,477,467
38398,461,451,460
38437,463,484,462
38476,459,480,454
38516,464,468,465
38555,468,467,467
38594,454,464,461
38633,470,460,461
38673,466,467,470
38712,459,466,461
38751,470,458,463
38790,465,454,468
38830,459,448,460
38869,472,464,463
38908,464,467,461
38947,467,464,464
38987,475,477,461
39026,466,470,466
39065,468,458,466
39105,466,470,460
39151,473,447,462
39190,469,478,468
39229,464,389,470
39276,460,470,464
39321,468,465,464
39365,464,457,467
39409,465,450,456
39453,473,467,463
39497,467,467,468
39537,471,488,466
39576,464,465,472
39616,473,456,465
39655,469,476,464
39695,464,456,473
39748,462,442,469
39787,471,457,464
39827,461,477,465
39866,473,452,461
39905,470,478,461
39945,464,460,464
39984,474,470,462
40024,466,500,462
40063,461,446,466
40103,471,463,464
40142,463,481,460
40182,487,440,459
40221,461,429,461
40267,486,475,465
40307,461,418,466
40346,459,472,471
40386,462,479,462
40425,459,505,466
40465,463,477,463
40504,467,434,472
40544,463,461,465
40583,465,426,464
40623,479,482,451
40663,458,458,464
40702,474,461,457
40748,471,424,465
40788,473,509,446
40827,478,436,470
40867,472,445,472
40906,462,491,470
40954,468,459,468
40997,475,465,473
41041,467,442,460
41085,475,452,475
41129,475,448,440
41171,469,470,476
41210,466,458,470
41249,462,441,459
41288,478,489,465
41327,461,476,457
41373,469,489,470
41412,461,455,456
41452,468,455,463
41491,463,476,464
41530,465,450,456
41569,471,447,458
41609,458,480,458
41648,464,447,468
41687,471,460,458
41726,466,471,459
41766,469,462,473
41805,469,483,466
41844,455,445,466
41883,466,441,462
41925,461,487,462
41964,464,455,466
42004,473,461,461
42043,462,508,464
42082,473,473,466
42121,465,477,467
42161,457,466,469
42200,467,459,465
42239,467,475,457
42278,460,458,461
42318,471,457,464
42357,463,455,464
42396,459,468,464
42442,459,473,464
42481,462,427,463
42521,471,458,464
42568,471,493,463
42612,462,431,464
42656,468,470,463
42700,469,444,465
42744,460,463,468
42786,468,443,468
42825,457,485,474
42865,440,467,459
42904,487,482,481
42944,464,496,459
42983,469,451,466
43022,439,488,482
43062,469,450,484
43101,453,471,494
43141,445,470,440
43180,441,508,481
43222,449,510,468
43261,451,479,452
43301,395,469,465
43340,412,487,475
43380,486,446,447
43419,534,481,455
43458,468,390,470
43498,454,507,499
43544,532,455,453
43583,500,499,461
43636,458,493,457
43675,386,469,458
43715,530,457,461
43754,498,480,511
43794,457,480,450
43833,510,487,433
43873,488,478,458
43912,471,430,468
43952,483,433,480
43991,459,458,468
44030,484,469,445
44070,491,396,459
44109,479,383,456
44149,478,464,457
44188,478,463,457
44236,479,517,460
44280,471,463,461
44323,470,490,455
44367,471,478,464
44411,461,413,464
44453,470,477,467
44494,455,481,464
44534,468,473,471
44573,467,473,467
44612,458,463,466
44650,463,435,466
44690,462,494,462
44729,452,461,460
44768,469,489,469
44807,460,483,454
44847,457,424,457
44886,467,486,473
44925,460,451,464
44964,462,467,453
45003,466,471,471
45043,456,442,471
45082,461,463,463
45121,467,480,466
45160,459,481,468
45200,469,458,464
45239,469,502,464
45278,460,445,466
45318,462,454,462
45357,465,471,474
45396,457,474,468
45435,474,465,471
45475,519,510,455
45514,463,347,461
45553,448,438,509
45592,448,479,475
45632,461,451,487
45678,433,448,478
45724,426,429,467
45763,424,319,457
45802,475,332,460
45842,454,449,451
45889,412,439,489
45933,408,468,476
45977,463,477,451
46021,478,439,483
46065,475,465,465
46108,510,339,449
46147,411,467,489
46187,494,400,460
46226,452,500,478
46266,555,448,476
46305,372,485,482
46344,431,466,469
46384,482,461,456
46423,477,532,461
46463,479,463,455
46502,471,411,460
46541,470,458,460
46581,473,459,456
46620,482,488,451
46660,468,453,455
46699,467,478,472
46739,463,472,462
46785,471,471,441
46824,464,477,466
46864,463,440,456
46903,469,483,460
46945,458,486,466
46984,469,452,468
47024,463,449,456
47063,456,432,475
47102,468,472,469
47142,458,440,463
47181,464,458,468
47221,464,525,465
47260,459,458,453
47300,466,473,463
47339,464,475,465
47379,457,469,466
47418,468,470,472
47458,466,483,477
47518,471,460,468
47562,462,445,476
47606,471,513,467
47650,493,466,468
47694,435,443,470
47737,465,453,489
47776,474,471,459
47815,435,468,493
47854,498,490,475
47900,458,413,463
47939,429,465,448
47979,439,427,455
48018,504,508,454
48057,456,467,476
48096,488,432,517
48136,556,452,434
48175,457,472,465
48217,469,482,500
48256,439,523,461
48295,478,454,471
48334,511,519,514
48374,474,486,453
48413,446,504,450
48452,352,456,473
48491,410,482,441
48531,405,467,462
48570,525,503,445
48609,370,470,480
48648,538,517,443
48688,478,468,479
48727,462,403,439
48766,436,443,432
48806,533,473,451
48845,458,455,495
48884,506,447,433
48923,469,472,460
48969,474,461,459
49009,471,402,465
49048,469,414,467
49095,465,456,458
49139,474,474,463
49183,472,399,462
49227,468,434,466
49271,478,475,460
49314,464,433,456
49354,471,459,456
49393,458,469,466
49433,461,466,477
49474,458,491,465
49514,464,467,468
49553,471,473,459
49592,454,431,470
49632,470,473,462
49671,469,443,477
49711,462,476,462
49750,464,463,493
49789,474,485,465
49829,458,435,474
49868,472,458,467
49908,467,459,467
49947,460,450,463
49987,468,483,476
50026,456,469,465
50072,467,472,467
50112,457,490,460
50151,464,442,468
50190,458,475,468
50230,461,443,471
50269,473,479,473
50309,458,482,463
50348,470,463,458
50388,486,493,463
50427,455,456,471
50467,429,453,479
50506,478,454,457
50546,457,454,442
50585,460,450,481
50625,449,453,463
50664,481,455,461
50711,411,477,489
50762,467,442,474
50806,488,452,454
50850,506,440,446
50893,454,442,453
50936,448,464,439
50975,364,451,463
51015,481,486,490
51054,401,481,451
51093,520,470,468
51132,405,475,454
51178,517,529,553
51217,489,471,463
51257,508,493,460
51296,414,468,496
51335,500,475,451
51374,461,474,465
51427,481,468,463
51466,478,433,464
51505,486,486,456
51544,473,391,458
51584,484,436,462
51623,479,441,458
51662,464,403,459
51702,476,441,461
51741,464,455,453
51780,464,435,464
51819,472,508,456
51859,460,478,459
51898,463,430,457
51940,462,486,463
51979,459,460,467
52018,469,416,466
52057,460,449,474
52097,457,487,465
52136,470,451,468
52175,458,478,470
52215,466,449,464
52261,456,466,467
52308,465,442,466
52352,467,462,465
52396,459,453,461
52440,468,466,463
52484,467,454,461
52527,461,472,470
52566,466,428,446
52606,427,494,472
52645,447,469,466
52684,449,443,466
52724,446,490,467
52763,456,427,455
52803,465,428,459
52842,468,455,469
52881,490,446,467
52921,471,489,467
52960,470,455,453
53000,455,464,481
53039,450,463,482
53079,425,461,441
53118,443,424,467
53157,465,463,438
53199,469,431,503
53239,522,498,463
53278,479,455,510
53318,424,471,503
53364,475,448,456
53403,475,451,441
53443,509,450,471
53482,483,429,448
53521,466,464,476
53561,473,477,458
53600,463,440,457
53640,475,489,477
53679,470,470,450
53719,474,426,461
53758,468,442,470
53798,468,457,463
53837,478,472,468
53877,468,447,462
53924,463,477,461
53968,475,485,457
54012,463,427,465
54055,476,472,465
54099,464,457,462
54142,457,463,460
54181,460,451,464
54221,463,478,468
54260,464,473,469
54299,460,445,465
54338,464,460,466
54377,454,465,465
54417,464,450,462
54465,458,480,469
54504,467,505,461
54543,464,469,470
54582,466,445,465
54622,475,463,460
54661,464,461,491
54700,461,472,456
54739,468,477,465
54779,458,496,458
54818,467,455,499
54857,469,481,449
54896,471,446,431
54936,432,472,443
54975,473,441,487
55014,406,435,619
55053,518,440,604
55093,471,448,449
55132,462,449,475
55171,474,495,501
55210,339,476,470
55250,431,466,404
55302,441,471,465
55341,499,489,572
55381,476,498,664
55420,513,503,446
55459,446,459,541
55499,519,437,470
55557,452,485,478
55601,482,442,446
55645,477,325,462
55689,484,488,464
55739,479,381,463
55778,458,458,459
55818,467,477,462
55857,471,497,454
55896,471,451,445
55936,475,465,461
55975,467,526,464
56015,461,440,451
56054,467,476,457
56093,455,493,457
56133,418,422,443
56172,477,489,463
56212,463,485,464
56251,466,450,448
56291,460,462,502
56330,466,399,453
56369,469,463,474
56409,452,465,460
56448,464,454,461
56488,466,472,471
56527,459,473,465
56567,460,435,454
56606,464,477,477
56652,470,462,461
56692,465,490,461
56731,466,459,468
56771,474,475,472
56810,464,465,460
56849,465,437,452
56889,471,465,470
56931,460,452,452
56970,476,461,475
57010,463,471,458
57049,465,450,448
57089,469,448,459
57136,470,472,488
57180,459,472,520
57224,469,490,552
57267,490,451,605
57311,405,435,584
57354,493,438,512
57393,456,459,478
57433,518,462,477
57472,442,462,369
57511,399,425,443
57550,498,462,419
57589,456,478,495
57629,470,490,537
57668,483,473,652
57707,491,493,530
57753,459,474,519
57792,412,462,438
57831,446,447,476
57871,445,423,480
57910,376,475,445
57949,473,471,471
57988,452,427,500
58028,482,452,552
58067,425,463,482
58106,470,488,421
58146,487,471,489
58187,486,447,470
58227,478,445,456
58266,476,476,465
58305,485,516,473
