millis,sens0,sens1,sens2
8600,474,450,479
8700,472,451,481
8800,465,455,477
8900,460,455,479
9000,465,461,475
9100,467,444,474
9200,465,459,477
9300,464,454,476
9400,468,469,482
9500,465,451,476
9600,468,461,480
9700,464,464,481
9800,463,462,483
9900,467,458,479
10000,469,464,474
10100,462,445,480
10200,466,467,479
10300,466,459,480
10400,466,464,479
10500,468,465,481
10600,469,463,477
10700,464,450,473
10800,463,463,478
10900,462,457,479
11000,468,457,477
11100,466,465,480
11200,465,451,478
11300,463,455,477
11400,467,461,476
11500,465,464,477
11600,461,448,477
11700,463,466,476
11800,466,457,480
11900,465,469,478
12000,462,462,479
12100,466,474,480
12200,467,447,481
12300,464,452,478
12400,467,458,478
12500,465,452,478
12600,470,461,481
12700,462,469,480
12800,463,455,478
12900,465,455,476
13000,466,459,475
13100,468,465,478
13200,463,470,480
13300,462,472,479
13400,462,446,481
13500,464,456,477
13600,469,455,480
13700,467,460,479
13800,468,459,477
13900,467,460,481
14000,463,461,482
14100,465,456,474
14200,464,479,479
14300,465,455,473
14400,467,457,482
14500,464,468,479
14600,466,460,477
14700,468,463,482
14800,467,462,476
14900,460,454,475
15000,460,467,481
15100,471,452,481
15200,463,464,477
15300,466,452,474
15400,464,459,477
15500,467,455,479
15600,468,449,481
15700,465,455,480
15800,464,456,478
15900,465,461,475
16000,465,461,480
16100,466,476,480
16200,465,454,482
16300,467,464,481
16400,464,460,482
16500,467,462,479
16600,468,467,479
16700,463,455,481
16800,462,462,479
16900,466,462,483
17000,466,452,478
17100,464,461,476
17200,468,456,479
17300,467,456,481
17400,464,463,483
17500,464,465,478
17600,465,472,483
17700,466,467,481
17800,460,456,480
17900,464,458,476
18000,461,455,476
18100,467,462,478
18200,465,462,478
18300,464,465,480
18400,466,466,478
18500,464,459,479
18600,463,457,479
18700,467,457,475
18800,467,471,477
18900,466,465,483
19000,462,475,481
19100,465,459,477
19200,463,456,477
19300,467,470,483
19400,466,462,475
19500,466,472,480
19600,469,458,477
19700,465,459,481
19800,466,459,480
19900,469,483,478
20000,464,471,481
20100,463,449,478
20200,465,462,478
20300,466,464,483
20400,461,458,477
20500,461,459,479
20600,461,464,478
20700,467,475,475
20800,468,488,478
20900,465,463,476
21000,469,463,474
21100,464,466,477
21200,460,457,480
21300,464,459,473
21400,466,480,481
21500,463,467,478
21600,461,469,479
21700,463,480,476
21800,462,470,478
21900,461,468,477
22000,463,453,480
22100,466,457,477
22200,467,470,483
22300,464,457,476
22400,463,462,483
22500,465,470,479
22600,463,468,478
22700,470,462,479
22800,468,458,479
22900,466,464,477
23000,463,461,479
23100,464,474,478
23200,464,469,480
23300,460,483,475
23400,465,461,480
23500,466,466,479
23600,463,463,478
23700,467,468,477
23800,460,457,478
23900,464,460,478
24000,464,472,483
24100,464,473,481
24200,464,459,478
24300,466,457,479
24400,465,467,477
24500,467,463,479
24600,467,464,481
24700,466,465,482
24800,464,480,481
24900,464,464,475
25000,463,453,479
25100,468,462,474
25200,462,473,477
25300,466,459,476
25400,466,470,471
25500,464,452,478
25600,463,459,475
25700,469,465,478
25800,461,467,477
