millis,sens0,sens1,sens2
38900,457,457,480
39000,461,480,476
39100,459,458,476
39200,464,492,477
39300,459,455,478
39400,460,451,476
39500,459,447,478
39600,463,460,478
39700,471,434,479
39800,462,481,480
39900,465,423,475
40000,463,495,479
40100,444,473,462
40200,460,497,483
40300,457,405,454
40400,469,446,471
40500,451,451,488
40600,472,471,482
40700,465,508,479
40800,457,474,481
40900,473,443,484
41000,464,463,480
41100,466,507,470
41200,460,482,480
41300,463,472,479
41400,467,459,477
41500,459,436,476
41600,462,441,480
41700,466,454,481
41800,463,504,468
41900,463,447,477
42000,464,477,472
42100,464,448,481
42200,464,437,488
42300,463,441,490
42400,460,433,492
42500,465,450,478
42600,467,457,481
42700,467,446,474
42800,468,441,485
42900,470,693,502
43000,471,437,480
43100,464,509,474
43200,466,454,478
43300,463,496,486
43400,465,499,484
43500,474,444,480
43600,466,466,482
43700,465,464,477
43800,451,438,482
43900,470,482,477
44000,454,442,483
44100,465,499,477
44200,466,459,470
44300,463,458,476
44400,463,481,506
44500,456,462,485
44600,435,474,465
44700,417,496,552
44800,473,431,467
44900,447,524,481
45000,480,455,397
45100,474,450,397
45200,472,451,513
45300,482,494,495
45400,474,587,499
45500,460,423,492
45600,470,499,478
45700,477,451,476
45800,476,453,475
45900,465,448,478
46000,473,433,477
46100,456,504,481
46200,461,436,480
46300,458,487,464
46400,451,433,478
46500,484,432,488
46600,446,489,479
46700,444,489,451
46800,428,454,458
46900,490,500,356
47000,421,429,341
47100,488,429,456
47200,490,436,459
47300,460,481,490
47400,452,447,490
47500,478,450,485
47600,467,443,475
47700,456,476,479
47800,468,450,474
47900,463,455,470
48000,470,446,477
48100,460,448,473
48200,470,454,473
48300,474,483,478
48400,480,464,477
48500,460,414,473
48600,466,470,491
48700,461,451,516
48800,427,479,467
48900,487,493,473
49000,477,366,440
49100,441,471,436
49200,484,466,488
49300,452,459,495
49400,462,448,492
49500,471,454,481
49600,473,514,476
49700,472,520,470
49800,464,478,477
49900,467,499,476
50000,460,455,474
50100,457,423,488
50200,474,445,479
50300,504,414,483
50400,449,448,478
50500,431,466,473
50600,458,433,504
50700,464,379,464
